"Marker" "N.Additive" "N.Dominance" "WSC.Additive" "WSC.Dominance" "DMD.Additive" "DMD.Dominance" "GDC_Y1.Additive" "GDC_Y1.Dominance" "CYLD_Y1.Additive" "CYLD_Y1.Dominance" "TYLD_Y1.Additive" "TYLD_Y1.Dominance" "GDC_Y2.Additive" "GDC_Y2.Dominance" "CYLD_Y2.Additive" "CYLD_Y2.Dominance" "TYLD_Y2.Additive" "TYLD_Y2.Dominance" "C_RUST.Additive" "C_RUST.Dominance" "GDC_Y3.Additive" "GDC_Y3.Dominance" "CYLD_Y3.Additive" "CYLD_Y3.Dominance" "TYLD_Y3.Additive" "TYLD_Y3.Dominance" "SY.Additive" "SY.Dominance" "HD.Additive" "HD.Dominance"
"17" "Chr1_4466781" 7.06e-05 2.34e-05 5.51e-06 -0.000143281 0.000283669 -0.000229098 0.001785058 0.001530886 -5.97e-05 -4.75e-05 -3.68e-09 -3.36e-09 0.002337189 0.000854931 -0.000119852 3.13e-05 -4.13e-09 -4.59e-09 -2.16e-05 0.000131246 1.5e-09 2.25e-09 -6.85e-05 -0.00011026 6.95e-06 -5.3e-05 -0.005662631 -0.003327817 -0.001268056 -0.001687883
"18" "Chr1_4667212" 5.11e-05 5.11e-05 -0.000356517 -0.000356517 0.000261136 0.000261136 0.00093241 0.00093241 -3.02e-06 -3.02e-06 -1.58e-09 -1.58e-09 0.001349114 0.001349114 -0.000172763 -0.000172763 -3.68e-09 -3.68e-09 -0.000126247 -0.000126247 3e-09 3e-09 5.51e-05 5.51e-05 -4.59e-05 -4.59e-05 0.002607166 0.002607166 0.001825134 0.001825134
"19" "Chr1_4667227" 7.18e-05 7.18e-05 -0.000769864 -0.000769864 0.000154991 0.000154991 0.00114522 0.00114522 -1.55e-05 -1.55e-05 -2.24e-09 -2.24e-09 0.001485672 0.001485672 -0.000150241 -0.000150241 -4.87e-09 -4.87e-09 -1.88e-05 -1.88e-05 4e-09 4e-09 6.8e-05 6.8e-05 -5.04e-05 -5.04e-05 0.001915292 0.001915292 0.001012343 0.001012343
"20" "Chr1_5118073" -3.14e-05 -3.14e-05 0.001307768 0.001307768 0.000382009 0.000382009 0.000210358 0.000210358 -9.2e-06 -9.2e-06 -3.69e-10 -3.69e-10 -0.0004357 -0.0004357 3.07e-07 3.07e-07 4.9e-10 4.9e-10 1.07e-05 1.07e-05 -3.75e-10 -3.75e-10 -0.000138243 -0.000138243 -4.41e-05 -4.41e-05 -0.001054822 -0.001054822 -0.000145483 -0.000145483
"21" "Chr1_5349557" 7.89e-06 7.89e-06 -0.000407337 -0.000407337 -0.000271006 -0.000271006 -0.0016007 -0.0016007 3.4e-05 3.4e-05 1.15e-09 1.15e-09 0.000242738 0.000242738 4.52e-05 4.52e-05 3.6e-09 3.6e-09 0.000431611 0.000431611 -2.25e-09 -2.25e-09 0.000146726 0.000146726 9.25e-05 9.25e-05 -0.003208813 -0.003208813 0.002049962 0.002049962
"22" "Chr1_5363860" 1.9e-05 1.9e-05 -0.000799924 -0.000799924 -0.000216843 -0.000216843 -0.000619995 -0.000619995 3.18e-05 3.18e-05 1.19e-09 1.19e-09 -0.001417351 -0.001417351 -2.51e-05 -2.51e-05 2.19e-09 2.19e-09 -4.58e-05 -4.58e-05 6.25e-10 6.25e-10 -6.43e-05 -6.43e-05 -7.54e-05 -7.54e-05 0.000199203 0.000199203 -0.000168992 -0.000168992
"23" "Chr1_5641469" 4.41e-05 6.63e-05 -0.0001561 -0.000501144 -0.000226324 1e-04 0.002865318 0.000375432 1.43e-05 -5.41e-05 -1.83e-09 -2.39e-09 0.002808173 0.000186118 -0.000155201 -6.97e-05 -1.38e-08 1.26e-08 7.05e-05 -0.000118647 8.87e-09 -2.62e-09 -9.81e-05 -8.91e-05 -0.000103784 5.17e-05 -0.000169622 -0.006010837 -0.001536921 -0.001510961
"24" "Chr1_7083613" 6.97e-05 6.97e-05 -0.000340052 -0.000340052 0.000299382 0.000299382 0.001289015 0.001289015 -1.58e-06 -1.58e-06 -1.44e-09 -1.44e-09 0.001405552 0.001405552 -0.000275661 -0.000275661 -1.85e-09 -1.85e-09 -0.000210519 -0.000210519 5.5e-09 5.5e-09 -0.000106372 -0.000106372 -2.86e-05 -2.86e-05 -0.000703037 -0.000703037 0.000927319 0.000927319
"25" "Chr1_7083639" -1.85e-05 -1.85e-05 0.000204578 0.000204578 -0.000292317 -0.000292317 -0.000114829 -0.000114829 1.48e-05 1.48e-05 5.88e-10 5.88e-10 -0.000345104 -0.000345104 3.5e-05 3.5e-05 6.7e-09 6.7e-09 0.000132257 0.000132257 -2.62e-09 -2.62e-09 -1.17e-05 -1.17e-05 1.05e-05 1.05e-05 -0.000316299 -0.000316299 -0.000770171 -0.000770171
"26" "Chr1_7266056" -5.26e-05 -1.52e-05 0.001280263 0.000226022 0.000404083 9.32e-06 -0.001414237 0.000103687 -3.11e-05 -1.72e-05 -5.01e-10 -3.62e-10 -0.001630883 -0.000237614 -1.92e-05 3.75e-05 1.55e-09 -1.15e-09 2.61e-05 0.000282383 -2.62e-09 1.25e-10 -3e-05 2.22e-05 1.77e-05 -5.48e-06 -0.003241531 -0.001684754 0.002348814 0.002559266
"27" "Chr1_7266079" -5.26e-05 -1.52e-05 0.001280263 0.000226022 0.000404083 9.32e-06 -0.001414237 0.000103687 -3.11e-05 -1.72e-05 -5.01e-10 -3.62e-10 -0.001630883 -0.000237614 -1.92e-05 3.75e-05 1.55e-09 -1.15e-09 2.61e-05 0.000282383 -2.62e-09 1.25e-10 -3e-05 2.22e-05 1.77e-05 -5.48e-06 -0.003241531 -0.001684754 0.002348814 0.002559266
"28" "Chr1_8361980" -2.42e-05 -2.42e-05 0.000364333 0.000364333 -2.12e-06 -2.12e-06 0.001985791 0.001985791 -1.59e-05 -1.59e-05 -7.2e-10 -7.2e-10 -5.47e-06 -5.47e-06 -8.8e-05 -8.8e-05 -1.48e-09 -1.48e-09 -7.04e-05 -7.04e-05 -2.5e-10 -2.5e-10 -0.000167703 -0.000167703 -1.72e-05 -1.72e-05 0.000383323 0.000383323 -0.001234653 -0.001234653
"29" "Chr1_8542204" -3.2e-05 -3.2e-05 0.000435055 0.000435055 5.14e-05 5.14e-05 0.00057129 0.00057129 -4.14e-05 -4.14e-05 -9.34e-10 -9.34e-10 0.001650947 0.001650947 -4.61e-05 -4.61e-05 -6.91e-09 -6.91e-09 -8.59e-05 -8.59e-05 1e-09 1e-09 -8.92e-05 -8.92e-05 -1.75e-05 -1.75e-05 -8.02e-05 -8.02e-05 0.001454528 0.001454528
"30" "Chr1_8723213" -2.88e-06 -4.67e-05 0.000169314 0.000974625 -6.73e-05 0.000233032 0.002138651 -0.001482535 4.97e-05 -3.82e-05 2.46e-09 5.09e-10 0.001928521 -0.001177506 9.55e-07 0.000231271 -4.36e-09 1.5e-09 0.000117451 0.000265963 7e-09 -3.5e-09 9.33e-05 -2.64e-06 0.000104559 4.73e-06 -0.002571676 -0.004923451 -0.002519396 -0.002581365
"31" "Chr1_9283292" 4.73e-05 2.25e-05 -0.001244735 -9.59e-05 -0.000247417 0.00017124 -0.000767721 3.62e-06 -3.66e-05 -4.66e-05 2.74e-10 -1.48e-10 -0.001385999 -0.001646751 1.87e-05 -1.88e-05 1.29e-08 1.07e-08 -0.000239609 -0.000192956 -3.25e-09 -2e-09 3.43e-05 2.67e-05 6.94e-05 8.54e-05 -0.001712478 -0.003427257 -0.003942118 -0.002790634
"32" "Chr1_9326341" 4.85e-05 4.85e-05 -0.001408248 -0.001408248 -0.000546125 -0.000546125 0.00347528 0.00347528 3.13e-05 3.13e-05 -7.74e-10 -7.74e-10 0.002910927 0.002910927 -7.84e-05 -7.84e-05 -8.43e-09 -8.43e-09 9.55e-05 9.55e-05 8.87e-09 8.87e-09 -6.76e-05 -6.76e-05 -6.59e-05 -6.59e-05 0.006843187 0.006843187 0.001979815 0.001979815
"33" "Chr1_9326395" -1.47e-05 -1.47e-05 0.001614302 0.001614302 0.000458515 0.000458515 -0.001303932 -0.001303932 -3.06e-05 -3.06e-05 -1.83e-09 -1.83e-09 -0.002293383 -0.002293383 4.37e-05 4.37e-05 5.59e-09 5.59e-09 -0.00013672 -0.00013672 -2.75e-09 -2.75e-09 -0.000110969 -0.000110969 4.16e-05 4.16e-05 -0.000239264 -0.000239264 -0.002141284 -0.002141284
"34" "Chr1_9326457" -2.8e-06 -2.8e-06 0.000516047 0.000516047 0.000189602 0.000189602 -0.001970906 -0.001970906 -3.77e-05 -3.77e-05 -1.44e-09 -1.44e-09 -0.002085051 -0.002085051 9.67e-05 9.67e-05 6.91e-09 6.91e-09 0.000363196 0.000363196 -6.25e-09 -6.25e-09 4.82e-05 4.82e-05 3.84e-05 3.84e-05 -0.004949805 -0.004949805 -0.001690402 -0.001690402
"35" "Chr1_9462140" 2.71e-05 2.71e-05 -0.000354386 -0.000354386 3.8e-05 3.8e-05 -0.001011544 -0.001011544 -3.44e-05 -3.44e-05 -2.33e-09 -2.33e-09 -0.001360578 -0.001360578 -9.65e-05 -9.65e-05 8.89e-09 8.89e-09 -2.19e-05 -2.19e-05 -4.12e-09 -4.12e-09 -7.63e-05 -7.63e-05 -9.93e-07 -9.93e-07 -0.00749933 -0.00749933 -0.000172527 -0.000172527
"36" "Chr1_9462149" -4.75e-05 -4.75e-05 0.001039596 0.001039596 0.000389127 0.000389127 -3.51e-05 -3.51e-05 2.13e-05 2.13e-05 1.39e-09 1.39e-09 0.001084604 0.001084604 3.21e-05 3.21e-05 -4.78e-09 -4.78e-09 1.34e-05 1.34e-05 2.5e-10 2.5e-10 8.4e-05 8.4e-05 1.63e-05 1.63e-05 0.000697678 0.000697678 -4.23e-05 -4.23e-05
"37" "Chr1_9868838" 4.7e-06 4.7e-06 0.000847769 0.000847769 0.000163041 0.000163041 0.002240021 0.002240021 -2.24e-05 -2.24e-05 -1.53e-09 -1.53e-09 -4.33e-05 -4.33e-05 -2.15e-06 -2.15e-06 -8.08e-09 -8.08e-09 -0.000112427 -0.000112427 2.5e-09 2.5e-09 -5.03e-05 -5.03e-05 -2.09e-05 -2.09e-05 0.003320711 0.003320711 -0.000223692 -0.000223692
"38" "Chr1_9868876" 1.99e-05 1.99e-05 0.000429527 0.000429527 0.000447681 0.000447681 8.53e-05 8.53e-05 -4.94e-05 -4.94e-05 -2.87e-09 -2.87e-09 -0.000191796 -0.000191796 -0.000182181 -0.000182181 6.11e-09 6.11e-09 -0.000261556 -0.000261556 -2.12e-09 -2.12e-09 -0.000218049 -0.000218049 -2.74e-05 -2.74e-05 -0.00586076 -0.00586076 -0.001365583 -0.001365583
"39" "Chr1_9868888" 4.7e-06 4.7e-06 0.000847769 0.000847769 0.000163041 0.000163041 0.002240021 0.002240021 -2.24e-05 -2.24e-05 -1.53e-09 -1.53e-09 -4.33e-05 -4.33e-05 -2.15e-06 -2.15e-06 -8.08e-09 -8.08e-09 -0.000112427 -0.000112427 2.5e-09 2.5e-09 -5.03e-05 -5.03e-05 -2.09e-05 -2.09e-05 0.003320711 0.003320711 -0.000223692 -0.000223692
"40" "Chr1_9946557" -1.5e-05 -1.5e-05 0.000141609 0.000141609 0.000123267 0.000123267 -0.000760893 -0.000760893 3.98e-06 3.98e-06 3e-09 3e-09 -0.001724903 -0.001724903 9.37e-06 9.37e-06 7.63e-09 7.63e-09 -1.58e-05 -1.58e-05 -5e-09 -5e-09 -3.17e-05 -3.17e-05 8.12e-05 8.12e-05 -0.002062951 -0.002062951 0.000614713 0.000614713
"41" "Chr1_10301975" 4.8e-05 4.8e-05 -0.001440284 -0.001440284 -4.44e-05 -4.44e-05 -0.000613542 -0.000613542 2.71e-05 2.71e-05 1.58e-09 1.58e-09 -0.001110646 -0.001110646 -4.96e-05 -4.96e-05 1.01e-08 1.01e-08 0.00013637 0.00013637 -3.12e-09 -3.12e-09 0.000140994 0.000140994 9.66e-05 9.66e-05 0.001937584 0.001937584 0.003518856 0.003518856
"42" "Chr1_10301990" 1.05e-05 3.27e-05 0.000834823 0.000489779 9.27e-05 0.000419039 0.002745329 0.000255443 -1.94e-05 -8.78e-05 -1.85e-09 -2.41e-09 0.002795607 0.000173552 -8.92e-05 -3.78e-06 -1.62e-08 1.01e-08 -5.54e-05 -0.000244603 7.5e-09 -4e-09 -0.000114693 -0.000105678 -0.000113984 4.15e-05 -0.00199925 -0.007840465 -0.003155959 -0.003129998
"43" "Chr1_10718829" -1.04e-05 -1.04e-05 -0.000589521 -0.000589521 -1.51e-05 -1.51e-05 -0.000992796 -0.000992796 8e-06 8e-06 2.46e-09 2.46e-09 -0.002561689 -0.002561689 5.98e-05 5.98e-05 9.28e-09 9.28e-09 7.43e-05 7.43e-05 -5.5e-09 -5.5e-09 0.00012882 0.00012882 9.32e-05 9.32e-05 0.001453914 0.001453914 0.002010948 0.002010948
"44" "Chr1_10895175" -1.97e-05 -1.97e-05 0.000844234 0.000844234 -0.000165172 -0.000165172 0.000815512 0.000815512 -3.35e-05 -3.35e-05 -2.31e-09 -2.31e-09 -0.001712021 -0.001712021 3.65e-05 3.65e-05 -2.09e-09 -2.09e-09 6.77e-05 6.77e-05 -1.87e-09 -1.87e-09 -0.000111015 -0.000111015 -9.53e-05 -9.53e-05 -0.000534275 -0.000534275 0.00079435 0.00079435
"45" "Chr1_10895220" 2.67e-05 2.67e-05 -0.000713803 -0.000713803 -0.000276957 -0.000276957 0.001352754 0.001352754 2.28e-06 2.28e-06 -1.56e-10 -1.56e-10 0.001374351 0.001374351 -3.81e-05 -3.81e-05 -3.69e-09 -3.69e-09 2.38e-05 2.38e-05 5e-09 5e-09 -3.68e-05 -3.68e-05 -3.69e-05 -3.69e-05 -0.000127159 -0.000127159 -0.000822412 -0.000822412
"46" "Chr1_10895226" -1.92e-05 1.01e-05 -0.000522839 0.000109494 -0.000311883 4.08e-05 0.00025552 0.000755771 3.77e-05 8.08e-06 2.13e-09 4.21e-10 0.000892941 0.001302555 0.000111163 -8.98e-05 -4.26e-09 3.37e-09 9.47e-05 -6.71e-05 8.75e-10 -2.12e-09 4.3e-05 -2.07e-05 8.11e-06 5.36e-05 0.002648725 -0.002435627 -0.001235542 0.000300273
"47" "Chr1_10895244" 1.64e-05 4.06e-06 0.000966547 0.000676487 0.000507644 0.000191935 -0.000710138 0.000454084 -5.63e-05 -2.91e-05 -3.01e-09 -1.71e-09 -0.000695799 0.001315454 -0.000110386 -0.000152805 8.13e-09 3.88e-09 6.3e-05 -0.000169077 -2.5e-10 -2.5e-09 -2.49e-05 -0.000158453 -3.21e-05 -4.02e-05 -0.008231523 -0.007535548 0.003502374 0.000906931
"48" "Chr1_12474118" 0.000107941 4.99e-06 -0.001197795 0.000672081 -0.000575266 0.000515621 0.003685919 -0.000180811 -3.94e-06 -5.3e-05 -5.63e-09 -4.74e-11 0.004579458 -0.000190471 -0.000105878 -5.49e-05 -1.06e-08 5.67e-09 -4.79e-05 2.48e-05 9.25e-09 -2.5e-10 -0.00023107 -6.69e-06 -0.000182154 5.65e-05 0.002417227 -0.008954787 -0.004133161 0.000443193
"49" "Chr1_12474153" 3.3e-05 4.04e-05 7.13e-05 -0.000905961 0.000181513 -0.000192236 -0.001566811 7.65e-06 -9.07e-06 -1.34e-05 -1.22e-09 -2.04e-09 -0.00116025 -0.000671987 -0.000173583 -0.000138992 -1.4e-09 -4.07e-09 -9.05e-05 7.66e-05 -1.37e-09 -6.25e-10 3.19e-06 -8e-05 2.06e-05 -2.53e-05 -0.002823519 0.001721198 0.003549419 0.004402904
"50" "Chr1_12607085" 3e-05 3e-05 -0.00031769 -0.00031769 6.97e-05 6.97e-05 -0.000870602 -0.000870602 4.06e-05 4.06e-05 2.18e-09 2.18e-09 -0.002397848 -0.002397848 8.56e-06 8.56e-06 1.07e-08 1.07e-08 -0.000137058 -0.000137058 -4.37e-09 -4.37e-09 2.7e-05 2.7e-05 7.18e-06 7.18e-06 0.002166452 0.002166452 0.000362418 0.000362418
"51" "Chr1_12607097" 5.42e-05 5.42e-05 -0.002086564 -0.002086564 -0.000650446 -0.000650446 -0.00078662 -0.00078662 4.42e-05 4.42e-05 1.54e-09 1.54e-09 -0.000945169 -0.000945169 6.56e-05 6.56e-05 4.22e-10 4.22e-10 9.08e-05 9.08e-05 1e-09 1e-09 3.26e-05 3.26e-05 -7.91e-06 -7.91e-06 0.006587715 0.006587715 0.000393826 0.000393826
"52" "Chr1_12607118" -5.39e-06 -5.39e-06 0.00117029 0.00117029 0.000383236 0.000383236 0.000749752 0.000749752 3.41e-05 3.41e-05 -5.78e-10 -5.78e-10 0.000903447 0.000903447 7.41e-05 7.41e-05 -1.16e-08 -1.16e-08 -8.4e-05 -8.4e-05 7.5e-10 7.5e-10 9.67e-05 9.67e-05 -6.03e-05 -6.03e-05 0.006442598 0.006442598 0.000300108 0.000300108
"53" "Chr1_12716512" -5.39e-06 -5.39e-06 0.000803675 0.000803675 0.000379935 0.000379935 0.00157261 0.00157261 -1.46e-05 -1.46e-05 6.32e-10 6.32e-10 0.000205601 0.000205601 9.28e-06 9.28e-06 4.93e-10 4.93e-10 -2.5e-05 -2.5e-05 -1.62e-09 -1.62e-09 1.25e-05 1.25e-05 4.78e-05 4.78e-05 -0.001770401 -0.001770401 -0.00099866 -0.00099866
"54" "Chr1_12799130" -5.62e-05 -5.62e-05 0.002000682 0.002000682 0.000611496 0.000611496 -0.00182687 -0.00182687 1.25e-05 1.25e-05 4.86e-10 4.86e-10 -0.000193489 -0.000193489 -5.39e-05 -5.39e-05 6.11e-10 6.11e-10 -0.000124757 -0.000124757 -3.87e-09 -3.87e-09 2.3e-05 2.3e-05 4.11e-05 4.11e-05 -0.001470549 -0.001470549 0.001160245 0.001160245
"55" "Chr1_12800495" 4.99e-05 4.99e-05 -0.001626265 -0.001626265 -0.000626094 -0.000626094 7.96e-05 7.96e-05 2.87e-05 2.87e-05 7.96e-11 7.96e-11 0.001362422 0.001362422 -7.65e-05 -7.65e-05 4.19e-09 4.19e-09 -0.000100596 -0.000100596 5.5e-09 5.5e-09 5.12e-05 5.12e-05 5.5e-05 5.5e-05 0.000376616 0.000376616 0.000984957 0.000984957
"56" "Chr1_12800514" 3.32e-05 3.32e-05 -4.23e-05 -4.23e-05 6.65e-05 6.65e-05 -0.000298979 -0.000298979 -9.33e-05 -9.33e-05 -3.84e-09 -3.84e-09 -0.001111548 -0.001111548 1.48e-06 1.48e-06 3.09e-09 3.09e-09 -0.000320446 -0.000320446 -1.25e-09 -1.25e-09 -0.000103518 -0.000103518 -9.06e-05 -9.06e-05 -0.007638275 -0.007638275 -0.0034517 -0.0034517
"57" "Chr1_13116682" -2.02e-05 -2.02e-05 -0.000987027 -0.000987027 -0.000697167 -0.000697167 0.001242358 0.001242358 6.85e-05 6.85e-05 1.81e-09 1.81e-09 0.001287703 0.001287703 -2.91e-05 -2.91e-05 -9.97e-10 -9.97e-10 0.000445832 0.000445832 4.37e-09 4.37e-09 -9.23e-05 -9.23e-05 1.06e-05 1.06e-05 0.003243973 0.003243973 0.002595414 0.002595414
"58" "Chr1_13131641" 7.74e-06 7.74e-06 0.000159219 0.000159219 3.31e-05 3.31e-05 -0.000137803 -0.000137803 -4.71e-07 -4.71e-07 -1.78e-09 -1.78e-09 0.000290709 0.000290709 -2.61e-05 -2.61e-05 6.21e-09 6.21e-09 -0.000168836 -0.000168836 -4.5e-09 -4.5e-09 -7.79e-05 -7.79e-05 -1.45e-05 -1.45e-05 -0.001994363 -0.001994363 -0.002090959 -0.002090959
"59" "Chr1_13189723" -1.36e-05 -1.36e-05 0.000943407 0.000943407 0.000448835 0.000448835 -0.00094102 -0.00094102 -4.39e-06 -4.39e-06 1.21e-09 1.21e-09 -1.99e-05 -1.99e-05 -9.43e-05 -9.43e-05 4.19e-09 4.19e-09 -0.00017664 -0.00017664 -2.62e-09 -2.62e-09 1.2e-05 1.2e-05 5.16e-05 5.16e-05 -0.003970711 -0.003970711 0.002091123 0.002091123
